sku,name,barcode,category,uom,weight_kg,cost_price,sell_price,hs_code,country_of_origin,image_url,supplier_code,supplier_sku
1,IAE SARACEN DUAL WIDTH,1,,EACH,,,3400,,,https://cdn.shopify.com/s/files/1/0823/0961/1864/files/saracen-dual-width_lrg.jpg?v=1712341585,,
4,FULL ACCESS CRUSHES,4,,EACH,,,2200,,,,,
7,HEAD SCOOP,7,,EACH,,,550,,,https://cdn.shopify.com/s/files/1/0823/0961/1864/files/head_scoop2.jpg?v=1712575151,,
151,Calf Halter Black Cotton,151,,EACH,,,15,,,https://cdn.shopify.com/s/files/1/0823/0961/1864/files/cotton-black.jpg?v=1712575543,,
283,Heiniger Xperience Clipper,283,,EACH,,310,440,,,https://cdn.shopify.com/s/files/1/0823/0961/1864/files/Xperience.jpg?v=1751461506,MULLINAHONE,
285,Cattle Clipper Lister Laser 2 Sheep/Dirty Cattle Clipper,285,,EACH,,,395,,,https://cdn.shopify.com/s/files/1/0823/0961/1864/files/tn_laser2_shear.jpg?v=1712575472,CHRISTIES,
364,Natural Cotton Working Halters - 10mm,364,,EACH,,,7,,,https://cdn.shopify.com/s/files/1/0823/0961/1864/files/nat_8mm-nat-cut-out.jpg?v=1712575540,,
380,Heiniger Xtra Sheep Shears And Dirty Cattle Clipper,380,,EACH,,360,575,,,https://cdn.shopify.com/s/files/1/0823/0961/1864/files/heniger_Xtra_72dpi_25.jpg?v=1751461350,MULLINAHONE,
847,Sullivan's Revive Skin and Hair Conditioner,847,,EACH,,,15,,,https://cdn.shopify.com/s/files/1/0823/0961/1864/files/20140321120413_revive.jpg?v=1712575423,SHOWTIME,
903,Sheep Halters Natural Cotton 8mm,903,,EACH,,,6,,,https://cdn.shopify.com/s/files/1/0823/0961/1864/files/20110929185813_7mm-nat-cut-out.jpg?v=1712575791,,
1133,Cow Halter - Red Cotton Show Halter,1133,,EACH,,,22,,,https://cdn.shopify.com/s/files/1/0823/0961/1864/files/cotton-red.jpg?v=1712575546,,
2012,Ritchey Medicated Shampoos,2012,,EACH,,,30,,,,,
3760,Winner's Brand Black Magic Halters Out of Stock,3760,,EACH,,,52,,,https://cdn.shopify.com/s/files/1/0823/0961/1864/files/black_magic2.jpg?v=1712575807,,
4370,Ivomec Super Injection for Cattle 200ml,4370,,EACH,,,89.99,,,https://cdn.shopify.com/s/files/1/0823/0961/1864/files/ivomect_inj.jpg?v=1712341570,,
6012,Wolsely Harrier Cattle Clipper,6012,,EACH,,,450,,,https://cdn.shopify.com/s/files/1/0823/0961/1864/files/R.jpg?v=1712575430,,
6036,"Sullivan's Superstick Show Sticks 54""",6036,,EACH,,,61,,,https://cdn.shopify.com/s/files/1/0823/0961/1864/files/54b2.jpg?v=1712575660,SHOWTIME,
8051,Medium Steel Show Box,8051,,EACH,,,380,,,https://cdn.shopify.com/s/files/1/0823/0961/1864/files/stem.jpg?v=1712575652,,
8057,Sullivan's 5' Upright Dolly Box,8057,,EACH,,,1100,,,https://cdn.shopify.com/s/files/1/0823/0961/1864/files/sullivan-s_dollybox.jpg?v=1712575652,,
10308,Blo i200 Single Motor Blower,,,EACH,6,114.13,255.5,,,https://cdn.shopify.com/s/files/1/0823/0961/1864/files/BloI200.png?v=1751461170,CHRISTIES,
10310,Blo i400 Dual Motor Blower,,,EACH,,194.63,435.5,,,https://cdn.shopify.com/s/files/1/0823/0961/1864/files/Blo_I400_2.png?v=1751461169,CHRISTIES,
13066,M-R Muscle  Embrocation 500ml,5027286052368,,EACH,,,21.1,,,https://cdn.shopify.com/s/files/1/0823/0961/1864/files/13066_e514792d-cc98-4589-89e6-cffc8e4932f1.webp?v=1756477649,TRIEQUESTRIAN,
13082,Supreme Highlighter Gloss 100ml,5060170120347,,EACH,,,20.2,,,https://cdn.shopify.com/s/files/1/0823/0961/1864/files/13082.webp?v=1756477381,TRIEQUESTRIAN,
13927,A & R 1ltr X,5397055464822,,EACH,,,57.4,,,https://cdn.shopify.com/s/files/1/0823/0961/1864/files/143.webp?v=1756723186,TRIEQUESTRIAN,
13928,Alpine Arnica 250ml,5397055464839,,EACH,,,29.2,,,https://cdn.shopify.com/s/files/1/0823/0961/1864/files/144_33053b58-3fd1-499e-a444-657178d3b32e.webp?v=1756723443,TRIEQUESTRIAN,
13971,Blue Chip Lami Light 15Kg,5060094090078,,EACH,,,68.4,,,,TRIEQUESTRIAN,
13975,Blue Chip Original 15kg,5060094090429,,EACH,,,68.4,,,https://cdn.shopify.com/s/files/1/0823/0961/1864/files/13975_8b60fb30-0296-43b6-a678-7139d5c028b6.webp?v=1756479409,TRIEQUESTRIAN,
13976,Blue Chip Pro 15kg,5060094090412,,EACH,,,71.2,,,https://cdn.shopify.com/s/files/1/0823/0961/1864/files/13976_e3b126eb-f6d6-467b-b815-af357698a7b8.webp?v=1756479555,TRIEQUESTRIAN,
13983,Botanica 6-in-1 Spray,5060119320081,,EACH,,,22.5,,,https://cdn.shopify.com/s/files/1/0823/0961/1864/files/13983.webp?v=1756480476,TRIEQUESTRIAN,
13985,Botanica Anti Itch cream 550ml,5060119322009,,EACH,,,51.8,,,https://cdn.shopify.com/s/files/1/0823/0961/1864/files/13985.webp?v=1756480364,TRIEQUESTRIAN,
13986,Botanica Small Animal Care 125ml,5060119322092,,EACH,,,28.3,,,https://cdn.shopify.com/s/files/1/0823/0961/1864/files/13986.webp?v=1756479861,TRIEQUESTRIAN,
13987,Botanica Fly Spray 750ML,5060119320098,,EACH,,,25.9,,,https://cdn.shopify.com/s/files/1/0823/0961/1864/files/13987.webp?v=1756479663,TRIEQUESTRIAN,
13994,Breeze Up 1ltr,5060201880639,,EACH,,,27.3,,,https://cdn.shopify.com/s/files/1/0823/0961/1864/files/shopping_15.webp?v=1756481317,TRIEQUESTRIAN,
14051,Clean as Whistle 1Ltr,5397055464846,,EACH,,,54.6,,,https://cdn.shopify.com/s/files/1/0823/0961/1864/files/145_e387b2bd-0809-4bba-8fb7-82caa331c4b4.webp?v=1756723625,TRIEQUESTRIAN,
14069,Coltish 1Ltr,5397055464853,,EACH,,,57.4,,,https://cdn.shopify.com/s/files/1/0823/0961/1864/files/146.webp?v=1756723730,TRIEQUESTRIAN,
14088,Cool It Powder 900G,5060201881353,,EACH,,,42.5,,,https://cdn.shopify.com/s/files/1/0823/0961/1864/files/19.webp?v=1756481413,TRIEQUESTRIAN,
14093,Copper-Trition 4kg,5060201880110,,EACH,,,78.6,,,https://cdn.shopify.com/s/files/1/0823/0961/1864/files/110.webp?v=1756469985,TRIEQUESTRIAN,
14105,Cribox Paint 400ml,5027286031356,,EACH,,14.89,27.5,,,https://cdn.shopify.com/s/files/1/0823/0961/1864/files/14105.webp?v=1756478381,TRIEQUESTRIAN,
14120,Diarsanyl 60ml Syringe(1's),3411112246182,,EACH,,,27.4,,,https://cdn.shopify.com/s/files/1/0823/0961/1864/files/157.jpg?v=1756726532,TRIEQUESTRIAN,
14149,Echinacea Plus 1Ltr,5032410120714,,EACH,,,35.6,,,https://cdn.shopify.com/s/files/1/0823/0961/1864/files/180.webp?v=1756807756,TRIEQUESTRIAN,
14284,Equivite Original 3kg,5037117400022,,EACH,,,44.7,,,https://cdn.shopify.com/s/files/1/0823/0961/1864/files/14284.webp?v=1756476475,TRIEQUESTRIAN,
