SKU,Product,Category,Warehouse,Location,Lot/Batch,Expiry,Qty,"Unit Cost","Stock Value"
(01)05023534031468(17)251000(10)3401-32D,"Noromectin 7l",,"Agvance Trading Warehouse",,,,6.000,0.00,0.00
(01)05099299037878,"Dycoxan Oral Suspension - 1L",,"Agvance Trading Warehouse",,,,0.000,0.00,0.00
(01)0539153427,"Cow Start Bolus 4 x 2 pack",,"Agvance Trading Warehouse",,,,0.000,48.00,0.00
(01)05414736045115,"Spot On Insecticide",,"Agvance Trading Warehouse",,,,0.000,0.00,0.00
0375A,"Heiniger Cordless Spare Battery Old Model",,"Agvance Trading Warehouse",,,,0.000,71.54,0.00
1000KGSALT1,"Himalayan Rock Salt - 1000KG1",,"Agvance Trading Warehouse",,,,134.000,420.00,"56,280.00"
10308,"Blo i200 Single Motor Blower",,"Agvance Trading Warehouse",,,,3.000,114.13,342.39
10310,"Blo i400 Dual Motor Blower",,"Agvance Trading Warehouse",,,,3.000,194.63,583.89
105391510234890,"Dectospot Pour-on",,"Agvance Trading Warehouse",,,,0.000,0.00,0.00
1061868Mxiub,"Spray Trigger Attachment for Aeroseol Cans",,"Agvance Trading Warehouse",,,,9.000,2.00,18.00
1133,"Cow Halter - Red Cotton Show Halter",,"Agvance Trading Warehouse",,,,0.000,0.00,0.00
11444034049,"Supershine Black",,"Agvance Trading Warehouse",,,,4.000,15.04,60.16
11498-BLACK-1,"Tesoro Leather Blinkers - Black",,"Agvance Trading Warehouse",,,,0.000,0.00,0.00
11498-BROWN,"Tesoro Leather Blinkers - Brown",,"Agvance Trading Warehouse",,,,0.000,0.00,0.00
13065-250ML,"B-R Bone Embrocation 500ml - 250ml",,"Agvance Trading Warehouse",,,,0.000,0.00,0.00
13065-500ML,"B-R Bone Embrocation 500ml - 500ml",,"Agvance Trading Warehouse",,,,0.000,0.00,0.00
13066,"M-R Muscle  Embrocation 500ml",,"Agvance Trading Warehouse",,,,0.000,0.00,0.00
13082,"Supreme Highlighter Gloss 100ml",,"Agvance Trading Warehouse",,,,0.000,0.00,0.00
1317100786,"Sullivan's The Hair Wizard Comb - 9 inch",,"Agvance Trading Warehouse",,,,1.000,27.49,27.49
13927,"A & R 1ltr X",,"Agvance Trading Warehouse",,,,0.000,0.00,0.00
13928,"Alpine Arnica 250ml",,"Agvance Trading Warehouse",,,,0.000,0.00,0.00
13971,"Blue Chip Lami Light 15Kg",,"Agvance Trading Warehouse",,,,0.000,0.00,0.00
13975,"Blue Chip Original 15kg",,"Agvance Trading Warehouse",,,,0.000,0.00,0.00
13976,"Blue Chip Pro 15kg",,"Agvance Trading Warehouse",,,,0.000,0.00,0.00
13982-500ML,"Botanica Cleansing Wash - 500ml",,"Agvance Trading Warehouse",,,,0.000,10.79,0.00
13982-5LTR,"Botanica Cleansing Wash - 5Ltr",,"Agvance Trading Warehouse",,,,1.000,40.71,40.71
13983,"Botanica 6-in-1 Spray",,"Agvance Trading Warehouse",,,,0.000,0.00,0.00
